BlockId,Label
blk_2544960065880011612,Anomaly
blk_9058263837749030301,Anomaly
blk_-71418885337923132,Normal
blk_-330512192316036781,Anomaly
blk_7751326296567978654,Normal
blk_3385105343852245023,Anomaly
blk_2621623873944981554,Normal
blk_7343037410013445519,Anomaly
blk_1853590624611778718,Normal
blk_1046914118176823699,Normal
blk_-6263877026183499665,Normal
blk_8852032903884698,Normal
blk_47041054464513747,Normal
blk_4199888984911130388,Anomaly
blk_5667092228729631789,Normal
blk_8945045932207269665,Anomaly
blk_-182305440626057147,Normal
blk_97639014527631099,Normal
blk_8818881034268374268,Normal
blk_-5454520278495523870,Normal
blk_-2796750057254298063,Normal
blk_-7420093371418847240,Normal
blk_3545200708377402786,Anomaly
blk_-7383873318268130574,Anomaly
blk_6292987407746152197,Anomaly
blk_-2457850663280039213,Anomaly
blk_-3375805297867187723,Anomaly
blk_-1311153225814026025,Normal
blk_1476322238065503651,Normal
blk_6648413342399866677,Anomaly
blk_-2720092268878667015,Normal
blk_7981676599527810541,Anomaly
blk_-5932170861549268399,Anomaly
blk_43482893556276394,Anomaly
blk_7694423528697377290,Anomaly
blk_-3676765808493952367,Anomaly
blk_9215067244773439263,Anomaly
blk_1617017641407277203,Normal
blk_8863164562088434847,Anomaly
blk_7038056367046383563,Anomaly
blk_7546862015762013918,Anomaly
blk_-485102439586014712,Anomaly
blk_-6027132439431972738,Normal
blk_2816977632574074842,Normal
blk_4570779032320995363,Normal
blk_-6808799898868077259,Anomaly
blk_-8302143546143349073,Normal
blk_538182766624859527,Anomaly
blk_888740367121684755,Normal
blk_6396325132257463015,Normal
blk_8549276602649357445,Anomaly
blk_8356197230001974031,Anomaly
blk_1636484602576317431,Normal
blk_6391256989458918684,Anomaly
blk_-3977964448632499326,Anomaly
blk_-8492358125062524557,Anomaly
blk_5211893634579866894,Anomaly
blk_5042823639290890252,Normal
blk_6114455031210894434,Anomaly
blk_-6074171347862795331,Normal
blk_-6458856273983838752,Normal
blk_2344438813772035430,Anomaly
blk_-4896567305811168590,Anomaly
blk_1925399132161054872,Anomaly
blk_-2200098223875912200,Normal
blk_5746587370656801193,Anomaly
blk_757196943465065740,Normal
blk_6879219155679289425,Anomaly
blk_7494477384120849189,Anomaly
blk_2452718173115594648,Normal
blk_-4195357285063714577,Normal
blk_-2682038446419222905,Anomaly
blk_2918408475086054805,Anomaly
blk_9121170434910458913,Anomaly
blk_-5931560835175779080,Anomaly
blk_-9104134961068090142,Normal
blk_5221134451076393818,Normal
blk_-1986796269573778731,Anomaly
blk_-4113779198918394000,Normal
blk_7765674296332669282,Normal
blk_8367840304328978841,Anomaly
blk_2156963752654036396,Normal
blk_3440899043784500340,Anomaly
blk_-2526833798441848968,Anomaly
blk_-7738527098240502090,Normal
blk_3548800293679106417,Normal
blk_8654932322341931715,Anomaly
blk_-6657979614895199873,Normal
blk_4649052150450768263,Anomaly
blk_-4833342361274172512,Normal
blk_7550682783720572615,Anomaly
blk_2213566134543985766,Normal
blk_2067114864290868805,Anomaly
blk_-7337177109440935043,Normal
blk_-6852217404933754648,Normal
blk_-3970268885983684483,Normal
blk_-2661441788231937442,Normal
blk_383293051326937665,Normal
blk_9047919342989744710,Normal
blk_-3924685082949816221,Normal
blk_3644334958253190720,Normal
blk_-4865939206157540740,Anomaly
blk_-819492939001153371,Anomaly
blk_4564627863496459925,Normal
blk_8706262614710946762,Anomaly
blk_-2879490547516129273,Anomaly
blk_-7789138960241765337,Normal
blk_8670464597140250807,Normal
blk_5809931191239895555,Anomaly
blk_6331185726865050300,Anomaly
blk_186853663483716720,Anomaly
blk_3976541713219877445,Normal
blk_-8868202935747293052,Normal
blk_-6727496463957669647,Anomaly
blk_2085078540799435214,Anomaly
blk_8862415961498614965,Anomaly
blk_4971154345890344,Anomaly
blk_2083874224931037709,Normal
blk_1483694219884556894,Anomaly
blk_6785979597470012603,Anomaly
blk_6124078019968307727,Normal
blk_2829852410706260598,Anomaly
blk_7226176149221431966,Anomaly
blk_-3626346971609728616,Anomaly
blk_5653508670744010458,Normal
blk_3274373926275906958,Normal
blk_7580363418403672910,Anomaly
blk_-2685397566952405160,Normal
blk_-2044401787760905299,Normal
blk_2523197033616695962,Normal
blk_-3513530107752601887,Anomaly
blk_-172147496944246960,Anomaly
blk_-3846169931593303657,Anomaly
blk_4650495994001167802,Normal
blk_5023638450367348379,Anomaly
blk_-1292779714385604878,Anomaly
blk_7608602775398015763,Anomaly
blk_1851362687750819895,Anomaly
blk_8557902622760412053,Normal
blk_7384911693793969421,Anomaly
blk_6203880165140483159,Normal
blk_8666253782149208864,Normal
blk_8825130525312798009,Normal
blk_-7790170351772021141,Normal
blk_-912300678006661674,Normal
blk_-5319791574302329998,Normal
blk_3711337100385224873,Normal
blk_-9016108137045075418,Normal
blk_3182843288180442811,Normal
blk_-6807617704355293530,Anomaly
blk_267820595529166714,Anomaly
blk_8562577070223490552,Anomaly
blk_-8918561637179978473,Anomaly
blk_5045745089675534966,Anomaly
blk_-8459750649592478117,Anomaly
blk_-9184021121998585107,Anomaly
blk_-8398154304261468598,Anomaly
blk_-7852394220388861643,Anomaly
blk_3234830704415668534,Anomaly
blk_-1048876773038816655,Anomaly
blk_3708679726899046099,Anomaly
blk_8401678419492335633,Anomaly
blk_-3887297947458342769,Anomaly
blk_411697026325909712,Anomaly
blk_-1174205132420103441,Anomaly
blk_9016648275931350475,Normal
blk_-3383982335845256021,Normal
blk_2866521868138735207,Anomaly
blk_-4321698844152947463,Normal
blk_7701508013157931378,Anomaly
blk_-9200284066935196216,Anomaly
blk_1275674891932600930,Normal
blk_-807795243308887286,Normal
blk_3310549543855686238,Normal
blk_-4835391000035831758,Normal
blk_-8254336415841470591,Normal
blk_6541176395940413472,Anomaly
blk_-6454042229842277724,Normal
blk_6148148808191433646,Anomaly
blk_-4542486744283261479,Normal
blk_840618786455239377,Normal
blk_2864450982410386591,Anomaly
blk_3726486212536684301,Anomaly
blk_-6967350993390301921,Normal
blk_-52996732622446180,Anomaly
blk_-2205187655784401588,Normal
blk_6627176676923715474,Anomaly
blk_-5944724238192406404,Normal
blk_-2508758766319822197,Anomaly
blk_286661111652750476,Anomaly
blk_-8313951021315392510,Normal
blk_-5618873625517729884,Anomaly
blk_8565347864937569521,Anomaly
blk_1986112558741936483,Anomaly
blk_3050388527345234826,Anomaly
blk_-2039665069610083180,Normal
blk_635693788884956022,Normal
blk_2594753583782275415,Normal
blk_-8566037911918468913,Normal
blk_7741160365275128465,Anomaly
blk_3307709725760134109,Normal
blk_7842985089901126870,Normal
blk_6174804389228149472,Normal
blk_6749100974922950568,Normal
blk_4334486375610672865,Anomaly
blk_-3904357826059835567,Anomaly
blk_2990739585981057100,Anomaly
blk_2243173784233974906,Normal
blk_-3431018531318764514,Anomaly
blk_8625760023777282830,Normal
blk_-6866975594841473239,Anomaly
blk_-8683556509854596383,Normal
blk_7827496923419171350,Anomaly
blk_3433568873464998730,Anomaly
blk_-5482314881654868456,Anomaly
blk_-5973334140192281409,Anomaly
blk_-2373367734481507752,Normal
blk_3158454515468506130,Normal
blk_1705861860929268464,Normal
blk_-5595749812925160500,Anomaly
blk_-6993602426596288166,Normal
blk_7541503320950408954,Anomaly
blk_-7245836259606554757,Normal
blk_8891048077762227743,Anomaly
blk_-7591292868303809832,Anomaly
blk_-3307787939216076593,Normal
blk_9123850117872008090,Anomaly
blk_-5616274854114896869,Normal
blk_-6613294208010347273,Normal
blk_-4683813028403463392,Normal
blk_-4033074724978520782,Normal
blk_8926099987976921977,Anomaly
blk_-3412728853703264676,Anomaly
blk_2055444910591200577,Normal
